collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.710413,5,Simbie AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/simbie-ai
2026-08-11T16:20:57.710419,2,Letterbook,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/letterbook
2026-08-11T16:20:57.710424,7,SID,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sid
2026-08-11T16:20:57.710430,5,Pointhound,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pointhound
2026-08-11T16:20:57.710435,1,Opensteer,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/opensteer
2026-08-11T16:20:57.710440,22,kapa.ai,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/kapa-ai
2026-08-11T16:20:57.710446,2,Dialtone,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dialtone
2026-08-11T16:20:57.710451,3,OpenTools,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/opentools
2026-08-11T16:20:57.710457,1,Midrender,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/midrender
2026-08-11T16:20:57.710462,8,Sohar Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sohar-health
2026-08-11T16:20:57.710472,3,Baud,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/baud
2026-08-11T16:20:57.710478,5,truemetrics,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/truemetrics
2026-08-11T16:20:57.710483,2,Arcimus,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/arcimus
2026-08-11T16:20:57.710489,20,Elyos AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/elyos-ai
2026-08-11T16:20:57.710494,42,AgentCollect,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/agentcollect
2026-08-11T16:20:57.710500,4,Studdy,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/studdy
2026-08-11T16:20:57.710505,3,Glade,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/glade
2026-08-11T16:20:57.710510,6,Cardinal Gray,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/cardinal-gray
2026-08-11T16:20:57.710516,34,Bretton AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/bretton-ai
2026-08-11T16:20:57.710521,7,Spine AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/spine-ai
2026-08-11T16:20:57.710527,9,Nowadays,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/nowadays
2026-08-11T16:20:57.710532,15,Inventive AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/inventive-ai
2026-08-11T16:20:57.710537,2,Slicker,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/slicker
2026-08-11T16:20:57.710542,10,Skyvern,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/skyvern
2026-08-11T16:20:57.710548,3,CORE,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/heysol
2026-08-11T16:20:57.710553,3,Epsilla,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/epsilla
2026-08-11T16:20:57.710558,2,Contour,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/contour
2026-08-11T16:20:57.710564,6,Orbio Earth,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/orbio-earth
2026-08-11T16:20:57.710569,19,Tiptap,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/tiptap
2026-08-11T16:20:57.710574,2,sudocode,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/sudocode
2026-08-11T16:20:57.710580,7,Venta AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/venta-ai
2026-08-11T16:20:57.710585,3,Clearest Health,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/clearest-health
2026-08-11T16:20:57.710590,3,Morph,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/morph
2026-08-11T16:20:57.710596,18,Flint,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/flint-2
2026-08-11T16:20:57.710601,15,dili,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dili
2026-08-11T16:20:57.710606,3,Terracotta AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/terracotta-ai
2026-08-11T16:20:57.710612,1,Reworkd,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/reworkd
2026-08-11T16:20:57.710617,6,Corgea,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/corgea
2026-08-11T16:20:57.710622,3,Quill Bills,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/quill-bills
2026-08-11T16:20:57.710628,5,AiSDR,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/aisdr
